answers,marks
"  A device driver is a specialized program that allows the operating system to communicate with and control hardware devices, serving as a translator between the OS and the hardware.",5
"The CLI is a text-based interface where users interact with the operating system by entering commands. It provides direct control over the system, often used for scripting and automation.",5
"  The task manager monitors and manages running processes, system performance, and resource usage. It allows users to view and control applications and processes.
",5
"  System calls provide a way for applications to request services from the operating system, acting as an interface between user-level programs and the kernel.
",5
"  A shell is a command interpreter that allows users to interact with the operating system by entering commands. It interprets user commands and executes them.
",5
"  Time-sharing is a technique in operating systems where multiple users share the same system resources simultaneously, allowing each user to have dedicated time slices for executing their tasks.
",5
"  The registry in Windows is a centralized database that stores configuration settings and options for the operating system and applications. It plays a crucial role in system configuration and management.
",5
"  A thread is the smallest unit of execution within a process in an operating system. Multiple threads within a process share the same resources, allowing for parallel execution.
",5
"  The BIOS is a firmware that initializes and manages essential hardware components during the computer's startup process. It provides the basic instructions for the system to boot.
",5
"  A page file, also known as a swap file, is a reserved space on the hard drive used by the operating system to store temporary data when physical RAM is insufficient. It aids in extending virtual memory.
",5
"  A kernel panic is a critical error in the operating system's kernel that causes it to halt. It indicates a severe system issue, leading to a system crash and requiring a reboot.
",5
"  The ""chmod"" command changes file permissions in Unix/Linux. It uses symbols like + and - to add or remove permissions for users, groups, and others.
",5
"  A deadlock occurs when processes are unable to proceed because each is waiting for the other to release a resource. An example is the dining philosophers problem.
",5
"  A compiler translates the entire source code into machine code before execution, producing an executable file. An interpreter translates and executes code line by line.
",5
"  The kernel is the core of the operating system, managing hardware resources, process scheduling, and communication between software and hardware.
",5
"  Virtual memory allows the OS to use a portion of the hard drive as additional RAM when physical RAM is full, enhancing system performance by accommodating more data.
",5
"  OOP is a programming paradigm based on objects. Example language: Java.
",5
"  Database normalization reduces redundancy by organizing data efficiently. Example: Breaking a table into smaller ones.
",5
"  A linked list is a data structure where elements are connected. Example: Singly linked list.
",5
"  Agile is an iterative and incremental approach. Principles: Customer collaboration, responding to change, working software.
",5
"  Binary search is a divide-and-conquer algorithm. It's efficient, with a time complexity of O(log n).
",5
"  Cloud computing is delivering computing services over the internet. Advantages include scalability and cost-effectiveness.
",5
"A computer network is a system of interconnected computers and devices that can share data and resources. It's crucial in the modern world because it forms the backbone of the internet, enabling global communication, online services, and information sharing.",5
"The core components of a computer network are devices (computers, routers, switches), transmission media (wires or wireless signals), and network protocols that govern data communication.",5
"A LAN is a network that covers a small geographic area, like a home or office, connecting devices within that proximity. In contrast, a WAN spans larger distances, often across cities or even countries, connecting multiple LANs and facilitating global communication.",5
" Data transmission in a computer network involves breaking data into packets, which are then sent through the network. Key protocols include TCP (Transmission Control Protocol) for reliable data transfer and IP (Internet Protocol) for addressing and routing.",5
" The OSI (Open Systems Interconnection) model is a conceptual framework used to understand and standardize network communication. It consists of seven layers, each responsible for specific tasks in data transmission. It provides a common reference point for network engineers and helps ensure compatibility between different networking devices and protocols.",5
"A router is a network device that connects different networks and directs data between them, making it possible for devices on one network to communicate with those on another. A switch, on the other hand, connects devices within the same network and manages local traffic, allowing devices to communicate within a network.",5
" IP addresses are like digital postal addresses for devices on a network. They help in identifying and locating devices. IP addresses are structured in two formats: IPv4, which uses 32-bit addresses like 192.168.1.1, and IPv6, which uses 128-bit addresses",5
"Subnetting is the practice of dividing a large IP network into smaller, more manageable sub-networks. It's important in IP addressing because it helps optimize IP address usage, enhances network security, and allows for efficient network management",5
" IPv4 and IPv6 are both protocols used for addressing devices on a network, but they differ in address length. IPv4 uses 32-bit addresses, while IPv6 uses 128-bit addresses. IPv6 is becoming important due to the exhaustion of IPv4 addresses as more devices connect to the internet.",5
" DNS is like the internet's phone book. It translates human-readable domain names (e.g., www.example.com) into IP addresses (e.g., 203.0.113.1). DNS is essential because it simplifies internet navigation and ensures that we can access websites using easy-to-remember names.",5
"Security concerns in computer networks include data breaches, malware, and unauthorized access. These can be mitigated through encryption, regular software updates, strong access controls, and network monitoring.",5
"A VPN is a technology that creates a secure and encrypted connection over a public network, such as the internet. It's used to protect sensitive data and ensure privacy by establishing a private and secure tunnel for network communications, especially when accessing the internet from untrusted networks.",5
"TCP is a connection-oriented protocol that ensures reliable data delivery, making it suitable for applications like web browsing and email. UDP, on the other hand, is connectionless and ideal for real-time applications such as video streaming and online gaming, where slight data loss is acceptable.",5
"Wi-Fi allows devices to connect to a network wirelessly using radio waves. To secure wireless networks, encryption methods like WPA3 and WPA2 are employed. These methods protect data by encoding it during transmission, preventing unauthorized access.",5
" Network topologies define how devices are connected in a network. Examples of common topologies include the bus topology, where devices are connected in a linear fashion, the star topology with a central hub connecting devices, and the ring topology, where each device is connected to two others in a circular arrangement.",5
"A firewall is a network security device or software that acts as a barrier between a computer network and external threats. It monitors incoming and outgoing network traffic, filters data packets based on predefined rules, and blocks or allows traffic accordingly, thus protecting the network from unauthorized access and malicious activity.",5
"A network administrator is responsible for the maintenance, operation, and security of computer networks. They configure and monitor network devices, troubleshoot issues, ensure data backups, manage user accounts, and implement security measures such as firewalls and intrusion detection systems.",5
"Quality of Service (QoS) is a set of technologies and mechanisms that prioritize network traffic to ensure certain applications or data streams receive better performance. It is crucial in situations where real-time applications like VoIP, video conferencing, or online gaming require low latency and reliable data transmission.",5
"A packet-switched network divides data into packets that are independently routed from source to destination. It is more efficient and flexible compared to a circuit-switched network, where a dedicated communication path is established for the entire duration of a call. Packet-switched networks are commonly used for data transmission, while circuit-switched networks are traditional for voice calls.",5
"When designing a network for a large organization or data center, key considerations include scalability to accommodate growth, redundancy for fault tolerance, security measures like firewalls and intrusion detection, high-speed data connections, and efficient network management and monitoring tools.",5
"MAC addresses, or Media Access Control addresses, are unique hardware addresses assigned to network devices for local communication within a network. They differ from IP addresses as MAC addresses are physical and used for data link layer communication, while IP addresses are logical and operate at the network layer, facilitating global data routing.",5
Bandwidth in networking refers to the capacity of a network to transmit data. It impacts data transmission by determining how much data can be sent in a given time frame. Higher bandwidth allows for faster data transfer and supports activities like streaming and video conferencing.,5
"A proxy server is an intermediary server that acts as a gateway between a user's device and the internet. It plays a crucial role in network security and privacy by hiding the user's IP address and providing an additional layer of protection. It can also filter and cache content, making web browsing faster and more secure.",5
"A VLAN, or Virtual Local Area Network, is a logical segmentation of a physical network into multiple isolated networks. It is used in network design to enhance network efficiency, security, and manageability. VLANs allow different groups of devices to be on separate networks while still sharing the same physical infrastructure.",5
" Network routers and switches serve different purposes within a network. Routers are responsible for forwarding data between different networks, determining the best path for data to reach its destination. Switches, on the other hand, are used to connect devices within the same network, making sure data gets to the right device. Routers work at the network layer (Layer 3), while switches operate at the data link layer (Layer 2).",5
"Latency is a critical factor in network performance, especially for real-time applications like video conferencing and online gaming. High latency can cause delays and disrupt the real-time experience, leading to poor video quality and lag in online games. Low latency is essential for responsive and smooth interactions in such applications.",5
"Load balancing in network design involves distributing network traffic across multiple servers or paths to ensure even utilization and prevent overloading. The benefits include improved network performance, enhanced redundancy, and increased reliability. It also enables scalability as additional resources can be easily added.",5
" A DNS resolver is a component of the DNS (Domain Name System) that translates domain names into IP addresses. When a user enters a domain name in a web browser, the resolver queries DNS servers to find the corresponding IP address, allowing the device to connect to the desired website.",5
" Network administrators play a crucial role in managing and maintaining computer networks. Their tasks include configuring and monitoring network devices, troubleshooting connectivity issues, ensuring data backups, managing user accounts and permissions, and implementing security measures like firewalls and intrusion detection systems",5
" Quality of Service (QoS) significantly affects network performance by prioritizing certain types of network traffic. It is crucial in situations where real-time applications such as voice and video calls rely on low latency and consistent data delivery. QoS ensures that critical traffic receives priority treatment, guaranteeing a better user experience.",5
" A firewall is a network security device or software that acts as a barrier between a computer network and external threats. It monitors incoming and outgoing network traffic, filters data packets based on predefined rules, and blocks or allows traffic accordingly. By doing so, it protects the network from unauthorized access and malicious activity.",5
"Wi-Fi allows devices to connect to a network wirelessly using radio waves. To secure wireless networks, encryption methods like WPA3 and WPA2 are employed. These methods protect data by encoding it during transmission, preventing unauthorized access.",5
"When designing a network for a large organization or data center, key considerations include scalability to accommodate growth, redundancy for fault tolerance, security measures like firewalls and intrusion detection systems, high-speed data connections, and efficient network management and monitoring tools.",5
A subnet mask is a numeric code used in IP addressing to define network and host portions of an IP address. It affects IP address allocation by specifying which part of the address identifies the network and which part identifies the host. This allows for efficient use of IP addresses and network segmentation.,5
"A DMZ, or Demilitarized Zone, is a network segment located between an internal network and an external network like the internet. It's crucial in network security as it acts as a buffer, allowing services that need to be accessible from the internet, like web servers, while keeping the internal network protected. It adds an extra layer of defense against external threats.",5
"A Man-in-the-Middle (MitM) attack is a cyberattack where an attacker intercepts and potentially alters communication between two parties without their knowledge. It can be prevented by using encryption, digital certificates, and secure communication protocols, which make it harder for an attacker to eavesdrop or manipulate data.",5
"Network virtualization is the process of creating multiple virtual networks on a single physical network infrastructure. It offers several benefits for data centers and cloud computing, including improved resource utilization, agility, and isolation. Virtualization allows for the efficient use of network resources and enables seamless management and scaling of networks.",5
"A network protocol analyzer, also known as a packet sniffer, is a tool used to capture and inspect network traffic. It is valuable in network troubleshooting and monitoring to diagnose network issues, identify performance bottlenecks, and analyze network behavior. It helps administrators understand how data flows across the network and pinpoint problems.",5
" A network gateway serves as an entry and exit point for data between different network segments. It acts as a translator, facilitating communication between networks that use different protocols or addressing schemes. The gateway's significance lies in its ability to connect and bridge distinct network segments, allowing seamless data exchange.",5
"Wireless mesh networks offer benefits such as flexibility, scalability, and reliability. They can easily expand to cover larger areas and provide redundancy. However, challenges include higher initial setup costs, potential interference, and the need for effective network management due to complex routing.",5
" A load balancer evenly distributes incoming web traffic across multiple servers in a farm. This balancing ensures that no single server gets overwhelmed, improving performance by maximizing resource utilization. Additionally, if one server fails, the load balancer redirects traffic to other healthy servers, enhancing fault tolerance and minimizing downtime.",5
"Symmetric encryption uses a single key for both encryption and decryption, making it faster but requiring secure key exchange. It's suitable for secure data transfer within a closed system. Asymmetric encryption uses a pair of keys, public and private, offering secure communication over open networks, like email encryption or SSL for secure web browsing.",5
"A content delivery network (CDN) is a network of geographically distributed servers that store and deliver web content to users. It's essential for improving the speed and availability of web content globally. CDNs reduce latency by serving content from servers closest to the user, ensuring faster load times. They also enhance content availability by reducing the load on the origin server, ensuring reliable content delivery even during traffic spikes.",5
"A network switch is a smart device that operates at the data link layer and forwards data based on MAC addresses, making it efficient and secure. In contrast, a network hub is a simpler device that broadcasts data to all connected devices, lacking the intelligence of a switch. Switches offer advantages like faster data transfer, reduced network collisions, and improved security compared to hubs.",5
"OOP is a programming paradigm that organizes software into objects, which represent real-world entities and their interactions. It's important because it promotes modularity, reusability, and maintainability, making code easier to design and understand.",5
"Encapsulation: Hiding internal details of an object and exposing only what's necessary.
Inheritance: Creating new classes based on existing ones, inheriting their attributes and behaviors.
Polymorphism: The ability of objects to take on multiple forms, typically achieved through method overriding.
Abstraction: Simplifying complex systems by modeling essential features while hiding unnecessary details.",5
"A class is a blueprint for creating objects. It defines the attributes and methods that objects of the class will have.
An object is an instance of a class, representing a specific entity with its own data and behavior.",5
"A class is a template that defines the structure and behavior of objects.
An object is an instance of a class, with its unique data and state.",5
"Encapsulation is the concept of bundling data (attributes) and methods (functions) that operate on the data into a single unit (a class). It restricts direct access to some of an object's components, providing control and preventing unintended interference.",5
"Encapsulation ensures that data within a class is accessed and modified through defined methods (getters and setters), allowing for validation and control over data changes, maintaining data integrity.",5
"Inheritance allows a class (subclass or derived class) to inherit attributes and methods from another class (base class or superclass). For example, a ""Vehicle"" class can be a superclass, and ""Car"" and ""Motorcycle"" can be subclasses inheriting properties like ""speed"" and methods like ""startEngine.""",5
"Advantages include code reusability, reducing redundancy, and creating a hierarchy of related classes, which makes code easier to maintain and extend.",5
private' is an access modifier that restricts access to class members (attributes and methods) within the same class. They are not accessible from outside the class.,5
"Polymorphism allows objects of different classes to be treated as objects of a common base class. For example, both ""Square"" and ""Circle"" classes can have a ""calculateArea"" method, allowing you to call ""calculateArea"" on any shape object without knowing its specific type.",5
"Abstract classes are classes that cannot be instantiated and are meant to serve as a blueprint for other classes. They often contain abstract methods that must be implemented by subclasses, ensuring consistency in derived classes.",5
"Method overloading: Defining multiple methods in the same class with the same name but different parameter lists.
Method overriding: Providing a new implementation for a method inherited from a superclass in a subclass, with the same method signature.",5
"OOP promotes code reusability through inheritance and composition. Inheritance allows classes to inherit attributes and methods from other classes, while composition involves creating objects of other classes as components within a class.",5
"Inheritance is an ""is-a"" relationship, where a subclass is a type of the superclass. Composition is a ""has-a"" relationship, where a class contains objects of other classes as components.",5
A constructor is a special method used to initialize an object when it's created. It typically sets the initial state of the object. Constructors have the same name as the class and do not return a value.,5
"A destructor is a special method used to release resources or perform cleanup when an object is destroyed. In languages like C++, it's called automatically when an object goes out of scope.",5
"Static methods and variables are associated with a class, not with individual objects. They are accessed using the class name and are shared among all instances of the class.",5
The 'super' keyword is used to call a method or constructor from the superclass within a subclass. It's typically used to invoke overridden methods in the superclass or to initialize the superclass in a subclass constructor.,5
"The 'this' keyword refers to the current object in a class. It is used to distinguish between instance variables and method parameters with the same name. 'super' refers to the superclass. 'this' is used within a class, while 'super' is used to access superclass members.",5
Multiple inheritance is a feature that allows a class to inherit from multiple classes. The diamond problem occurs when a class inherits from two classes that have a common base class. It can lead to ambiguity in method and attribute resolution.,5
"Single Responsibility Principle (SRP): A class should have only one reason to change, meaning it should have a single responsibility.
Open-Closed Principle (OCP): Software entities (classes, modules, functions) should be open for extension but closed for modification.
Liskov Substitution Principle (LSP): Subtypes must be substitutable for their base types without affecting the correctness of the program.
Interface Segregation Principle (ISP): Clients should not be forced to depend on interfaces they do not use.
Dependency Inversion Principle (DIP): High-level modules should not depend on low-level modules; both should depend on abstractions. Abstractions should not depend on details; details should depend on abstractions.",5
"An abstract class can have both abstract (unimplemented) and concrete (implemented) methods, while an interface can only have abstract methods.
A class can inherit from one abstract class but implement multiple interfaces.",5
"Method chaining, also known as fluent interfaces, allows you to call methods on an object one after another in a single line of code. Each method returns the object itself, enabling the chaining of method calls.",5
"Information hiding involves hiding the internal details of an object and exposing only what's necessary. Access modifiers like 'private' in OOP enforce this principle, preventing direct access to class members from outside.",5
"A shallow copy duplicates the top-level structure of an object but doesn't create new copies of the objects contained within the original object. Changes in nested objects are reflected in both the original and the copy.
A deep copy duplicates the entire object hierarchy, creating entirely new copies of all nested objects, ensuring that changes in one copy do not affect the other.",5
"A design pattern is a reusable and proven solution to a common software design problem. They are used to improve code maintainability, promote best practices, and provide common solutions to recurring design challenges.",5
"The Observer pattern is used to define a one-to-many dependency between objects, so when one object changes state, all its dependents (observers) are notified and updated automatically. A real-world example is a weather station broadcasting weather updates to various displays (observers) that show the current conditions.",5
"The Singleton pattern ensures that a class has only one instance and provides a global point of access to it. It is useful when you want to restrict a class to have a single instance, such as a configuration manager or a database connection pool.",5
"The Factory Method pattern defines an interface for creating an object but allows subclasses to alter the type of objects that will be created. It's useful when you want to delegate the responsibility of object creation to subclasses, enabling flexible and extensible object creation.",5
"The 'final' keyword is used to restrict further extension or modification of classes, methods, or variables. In class definitions, it can be used to create a final class (cannot be subclassed). In method definitions, it can be used to create a final method (cannot be overridden), and in variable definitions, it can be used to create a final variable (constant).",5
"The ""superclass"" and ""subclass"" relationship in OOP is a hierarchical structure where a subclass (or derived class) inherits attributes and methods from a superclass (or base class). The subclass is a specialized version of the superclass and can add its own attributes and methods.",5
"""Polymorphism"" is a concept in OOP that allows objects of different classes to be treated as objects of a common base class. It promotes flexibility and code reusability by enabling one piece of code to work with various subclasses.",5
"OOP handles ""method overriding"" when a subclass provides its own implementation for a method defined in the superclass with the same method signature. It is useful to customize behavior in derived classes.",5
"""Interfaces"" in OOP define a contract for classes that implement them. They consist of method signatures without implementations, and classes that implement an interface must provide concrete implementations for those methods. Interfaces promote code consistency and multiple inheritance.",5
"In OOP, ""method visibility"" refers to the accessibility of methods. ""Public"" methods can be accessed from anywhere, ""private"" methods are only accessible within the class, and ""protected"" methods are accessible within the class and its subclasses.",5
"A ""constructor"" in OOP is a special method used to initialize objects. It is automatically called when an object is created and is used to set initial values for object attributes. Constructors ensure that objects start in a valid state.",5
"OOP typically does not support ""multiple inheritance,"" where a class inherits from multiple superclasses. Challenges arise due to potential naming conflicts and ambiguity. Some programming languages provide solutions like interfaces or composition to address these issues.",5
"""Aggregation"" and ""composition"" are both ways to create classes by combining or composing objects of other classes. Aggregation represents a ""has-a"" relationship, while composition implies a stronger ""part-of"" relationship.",5
"""Method chaining"" in OOP involves calling multiple methods on an object in a single line, allowing for more concise and readable code. It is commonly used in design patterns and fluent interfaces.",5
"""Tight coupling"" and ""loose coupling"" refer to the degree of dependency between components or classes in a system. Tight coupling means high dependency, while loose coupling implies low dependency. Loose coupling is generally preferred as it makes code more flexible and maintainable.",5
"An Entity relationship model (ER model) describes the structure of a database with the help of a diagram, which is known as Entity Relationship Diagram (ER Diagram). An ER model is a design or blueprint of a database that can later be implemented as a database. The main components of E-R model are: entity set and relationship set.An ER diagram shows the relationship among entity sets. An entity set is a group of similar entities and these entities can have attributes. In terms of DBMS, an entity is a table or attribute of a table in database, so by showing relationship among tables and their attributes, ER diagram shows the complete logical structure of a database. Lets have a look at a simple ER diagram to understand this concept.",4
"Normalization is the process of organizing the data in the database.
Normalization is used to minimize the redundancy from a relation or set of relations. It is also used to eliminate the undesirable characteristics like Insertion, Update and Deletion Anomalies.
Normalization divides the larger table into the smaller table and links them using relationship.
The normal form is used to reduce redundancy from the database table.",3.5
"1. Improved data sharing:
The DBMS helps create an environment in which end users have better access to more and better-managed data.
Such access makes it possible for end users to respond quickly to changes in their environment.
2. Improved data security:
The more users access the data, the greater the risks of data security breaches.Corporations invest considerable amounts of time, effort, and money to ensure that corporate data are used properly.
A DBMS provides a framework for better enforcement of data privacy and security policies.
3. Better data integration:
Wider access to well-managed data promotes an integrated view of the organizationâ€™s operations and a clearer view of the big picture.
It becomes much easier to see how actions in one segment of the company affect other segments.",4
"A relational database management system (RDBMS) is a collection of programs and capabilities that enable IT teams and others to create, update, administer and otherwise interact with aÂ relational database. RDBMSes store data in the form of tables, with most commercial relational database management systems using Structured Query Language (SQL) to access the database. However, since SQL was invented after the initial development of the relational model, it is not necessary for RDBMS use.

The RDBMS is the most popular database system among organizations across the world. It provides a dependable method of storing and retrieving large amounts of data while offering a combination of system performance and ease of implementation.",4
"The DBMS design depends upon its architecture. The basic client/server architecture is used to deal with a large number of PCs, web servers, database servers and other components that are connected with networks. The client/server architecture consists of many PCs and a workstation which are connected via the network. DBMS architecture depends upon how users are connected to the database to get their request done.",4
"In this architecture, the database is directly available to the user. It means the user can directly sit on the DBMS and uses it. Any changes done here will directly be done on the database itself. It doesn't provide a handy tool for end users. The 1-Tier architecture is used for development of the local application, where programmers can directly communicate with the database for the quick response.",3.5
"The 2-Tier architecture is same as basic client-server. In the two-tier architecture, applications on the client end can directly communicate with the database at the server side. For this interaction, API's like: ODBC, JDBC are used. The user interfaces and application programs are run on the client-side. The server side is responsible to provide the functionalities like: query processing and transaction management. To communicate with the DBMS, client-side application establishes a connection with the server side.",4
"The 3-Tier architecture contains another layer between the client and server. In this architecture, client can't directly communicate with the server. The application on the client-end interacts with an application server which further communicates with the database system. End user has no idea about the existence of the database beyond the application server. The database also has no idea about any other user beyond the application. The 3-Tier architecture is used in case of large web application.",3.5
"It states that all operations of the transaction take place at once if not, the transaction is aborted.
There is no midway, i.e., the transaction cannot occur partially. Each transaction is treated as one unit and either run to completion or is not executed at all.",4
The integrity constraints are maintained so that the database is consistent before and after the transaction.The integrity constraints are maintained so that the database is consistent before and after the transaction. The execution of a transaction will leave a database in either its prior stable state or a new stable state. The consistent property of database states that every transaction sees a consistent database instance. The transaction is used to transform the database from one consistent state to another consistent state.,3
"It shows that the data which is used at the time of execution of a transaction cannot be used by the second transaction until the first one is completed.
In isolation, if the transaction T1 is being executed and using the data item X, then that data item can't be accessed by any other transaction T2 until the transaction T1 ends.
The concurrency control subsystem of the DBMS enforced the isolation property.",4
"The durability property is used to indicate the performance of the database's consistent state. It states that the transaction made the permanent changes.
They cannot be lost by the erroneous operation of a faulty transaction or by the system failure. When a transaction is completed, then the database reaches a state known as the consistent state. That consistent state cannot be lost, even in the event of a system's failure.
The recovery subsystem of the DBMS has the responsibility of Durability property.
",4
"A transaction goes into an active state immediately after it starts execution, where it can issue READ and WRITE operation.",4.5
"When the transaction ends, it moves to the partially committed state. At this point, some recovery protocol need to ensure that a system failure will not result in an inability to record the changes of the transaction permanently.",4.5
,0
"A transaction can go to the failed state, if one of the check fails or if the transaction is aborted during its active state.",4.5
